conversations
"[{'content': 'ما هو عنوان الكتاب الذي يظهر في طبعته الثانية؟', 'role': 'user'}
 {'content': '٤', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يمثله المخطط؟ اختر الإجابة الأصح من الخيارات أدناه.', 'role': 'user'}
 {'content': 'دور حياة حشرةٍ ما', 'role': 'assistant'}]"
"[{'content': 'السؤال: في مخطط دورة الحياة الذي نراه أدناه، ما هي المرحلة التي تأتي مباشرة بعد المرحلة د؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'اليرقة', 'role': 'assistant'}]"
"[{'content': 'السؤال: إستناداً إلى الرسم، في جسم الإنسان ماذا يمثل 5؟  اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الأبهر', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما العضو باللون الأصفر المعنون بالحرف د؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'البانكرياس', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما نوع دورة الحياة الموضحة في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'فراشة', 'role': 'assistant'}]"
"[{'content': 'السؤال: تتكون الصخور النارية من تبريد الصخور المنصهرة. أي حرف يمثل هذا النوع من الصخور؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: على ما يدل الحرف ب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الأمعاء الغليظة', 'role': 'assistant'}]"
"[{'content': 'السؤال:ما الذي يمثله الحرف ج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'المعدة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يمثله الرقم 3؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الكبد', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل الموجودة في دورة حياة الحشرة المذكورة في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٦', 'role': 'assistant'}]"
"[{'content': 'السؤال: في دورة حياة الحشرة المذكورة في المخطط، ما هي المرحلة التي تأتي بعد المرحلة ب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'العذراء', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يُظهر المخطط؟ اختر الإجابة الأصح من الخيارات أدناه.', 'role': 'user'}
 {'content': 'دورة حياة الصرصور', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقًا لهذا الرسم البياني، متى لن تتمكن من رؤية القمر؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '16 يناير', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الحرف الذي يمثل مرحلة النبات الصغير؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل الموضحة في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٣', 'role': 'assistant'}]"
"[{'content': 'السؤال: هل المراحل الظاهرة في المخطط تظهر بشكل مرتب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'كلا، ليست مرتبة', 'role': 'assistant'}]"
"[{'content': 'السؤال: تعتبر الأمشاج الأنثوية بويضة. يطلق عليها أيضًا اسم _____________ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'بيضة', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي حرف يمثل مرحلة الشرنقة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الرسم التخطيطي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'دورة الحجر الرسوبي', 'role': 'assistant'}]"
"[{'content': 'السؤال: منطقياً، ما هي المرحلة الأولى من المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'بيض', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما اسم المرحلة في الحرف أ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الإنبات', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يأتي قبل القمر في هذه الدورة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الشمس', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي رسمان يتكرران في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '6-8', 'role': 'assistant'}]"
"[{'content': 'السؤال:وفقاً للرسم الموضوح، ما الآلة البسيطة التي تساعد في رفع الأحمال؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'البكرة', 'role': 'assistant'}]"
"[{'content': 'السؤال: يُظهر المخطط أربع مراحل في تطور لحشرة ما. صف ماذا يحدث خلال المرحلة  هاء ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'يرقة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو المنتج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'نبات', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الشيء الأكثر تشابهًا مع 5؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '7', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي صورة تمثل الكسوف الحلقي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: الصورة 5 تمثل. اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'نملة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما نوع الحيوان المعروض على الملصق ب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'دولفين', 'role': 'assistant'}]"
"[{'content': 'السؤال: تظهر الصورة عدة حشرات، جميعها تتبع لمجموعة معينة فما هي تلك المجموعة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'المستعمرات', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقاً للرسم، كيف حصلنا على ١٨ بدءاً ب ٣؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'إضافة ٣ مع كل صف', 'role': 'assistant'}]"
"[{'content': 'السؤال: الرسم التخطيطي أدناه يوضح دورة حياة حشرةٍ ما. أي مرحلة موضحة عند د؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'يرقات', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي قدم تحتوي على الأصابع في خط أفقي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'روماني', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الملصق 15؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'سحابة رماد', 'role': 'assistant'}]"
"[{'content': 'السؤال: من الرسم البياني المعطى، من المنتج. اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'العوالق النباتية', 'role': 'assistant'}]"
"[{'content': 'السؤال: في أي مرحلة تضع الحشرة المذكورة في المخطط البيض؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'بالغ', 'role': 'assistant'}]"
"[{'content': 'السؤال:على ما تتغذى الأسماك؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'كل ما سبق', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي حرف يظهر الجزء الثالث من الدورة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل الموضحة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٤', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي خط ينتهي ويبدأ بنفس الطريقة مثل الخط د؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'السؤال: في الرسم البياني، أي حرف يمثل العذراء في شرانقها؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ط', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الطبقة الأكثر عمقاً في الأرض وفقاً للمخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الخيار الذي يتم وصفه بالحرف د؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القشرة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الاسم الذي يطلق على الأجزاء الداخلية؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'اللب أو النواة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الطبقة الخارجية؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الطبقة العليا في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القشرة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الجزء الأعمق في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'اللب الداخلي', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي أرق جزء في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القشرة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الجزء الخارجي من المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القشرة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يفقد الكائن عند الحرف أ مع نموه؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الذيل', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي من هذه الاحتمالات التي يظهرها الشكل تدل على البالغ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'أعلى اليسار', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو المعدن الذي يتسم بالصعوبة نسبياً ويكون بشكل طبيعي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'صخر', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الحرف الذي يمثل البيض؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي مرحلة في الرسم البياني تظهر بعوضة بالغة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: الرسم يوضح دورة حياة حشرة. أي جزء من الرسم يمثل العذراء؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الوظيفة التي تقوم بها الجزء ب من الشجرة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'دعم الفروع والأوراق', 'role': 'assistant'}]"
"[{'content': 'السؤال: إستناداً إلى المخطط، ما هي المرحلة د من حياة النبات؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': ' الإزهار ', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا تسمى المرحلة ج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'نبات بالغ', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الطبقة الخارجية للهيكل؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القشرة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يظهر في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'كل ما سبق', 'role': 'assistant'}]"
"[{'content': 'السؤال:وفقاً للرسم، ما هي نتيجة التحلل؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الوقود الأحفوري', 'role': 'assistant'}]"
"[{'content': 'السؤال: في أي مرحلة  تمتلك الحشرة أجنحة من دورة حياة الحشرة الظاهرة في الجدول؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'مرحلة البالغ', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الأبعد عن الشمس في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القمر', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الحرف أ في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الشمس', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الموجود بين أ و ب في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القمر', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يتنفس الحيوانات في الهواء،فقاً للمخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ثاني أكسيد الكربون', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الحرف الذي يمثل مرحلة الربع الأول من القمر؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: إذا كان هناك المزيد من الكائنات رقم 10، فما الذي من المحتمل أن يزداد أيضاً؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '12 + 13', 'role': 'assistant'}]"
"[{'content': 'السؤال: يتم تمثيل دورة الكربون في الرسم التخطيطي، ما هو الحرف الذي يمثل الفحم والنفط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الشيء المعروض في المخطط أعلاه؟ اختر الإجابة الأصح من الخيارات أدناه.', 'role': 'user'}
 {'content': 'دورة حياة الفراشة الملكية', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما اسم الجسم الذي يظهر أكبر في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الأرض', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يدور حول الشمس في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الأرض', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يظهره المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'كل ما سبق', 'role': 'assistant'}]"
"[{'content': 'السؤال:إستناداً إلي الرسم، كم عدد الأرجل الظاهرة التي تمتلكها الحشرة عند المرحلة د ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٥', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل في دورة الحياة هذه؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٤', 'role': 'assistant'}]"
"[{'content': 'السؤال: اختر الوسم الذي يشير إلى الموسم الأكثر دفئًا. اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ل', 'role': 'assistant'}]"
"[{'content': 'السؤال: في الرسم البياني، أي حرف يُظهر الليل؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يشير إليه الحرف د؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'خط الاستواء', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى الجدول الخاص بأيام الإجازات المستحقة والمستخدمة والمتبقية لكل موظف، أي موظف استخدم النسبة الأقل من أيامه المستحقة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الجدول الذي يحتوي على أسماء العملاء وتقييم الخدمة، أي عميل من ضمن الخيارات المتاحة يُعد الأول ظهورًا بخمس نجوم تقييم؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الجدول المبيّن لتكاليف الأقسام السنوية ونسبة كل قسم من التكلفة الإجمالية، أي قسم  من ضمن الخيارات المتاحة يمتلك أعلى تكلفة سنوية؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى جدول الحضور والغياب لموظفي هذا الشهر، أي موظف  من ضمن الخيارات المتاحة يسجّل أعلى نسبة حضور؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'في الجدول الذي يعرض الراتب الأساسي وبدلات الموظفين وإجمالي الاستحقاقات، أي موظف  من ضمن الخيارات المتاحة لديه أعلى إجمالي استحقاقات؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'استنادًا إلى جدول تقييم الموظفين وأقسامهم والملاحظات،  من ضمن الخيارات المتاحة من حصل على أفضل تقييم أداء؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من خلال جدول الأجهزة الذي يضم ساعات الاستخدام والتكلفة التشغيلية، أي جهاز  من ضمن الخيارات المتاحة لديه أعلى تكلفة للساعة الواحدة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'وفقًا لجدول أنواع الأقمشة وخصائصها، أي نوع أقمشة من ضمن الخيارات المتاحة يتمتع بأعلى مقاومة للانكماش؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'في الجدول الخاص بأسماء المستلمين ومبالغهم المالية وتوقيعاتهم، من من بينهم استلم أكبر قيمة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى جدول الدائن والمدين عبر تواريخ محددة، في أي تاريخ من ضمن الخيارات المتاحة دُوّن فيه أكبر مبلغ في خانة الدائن؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الجدول الذي يضم التواريخ والأوصاف والمبالغ بالدينار، أي تاريخ من ضمن الخيارات المتاحة ذُكر فيه أعلى مبلغ صرف؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'استنادًا إلى بيانات كل جسر (الخرسانة والحديد والوقت والعمالة المطلوبة)، أي جسر لديه أعلى نسبة حديد إلى خرسانة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من خلال بيانات أرصدة الحسابات وتواريخ تحديثها، أي حساب من ضمن الخيارات المتاحة يتصدّر بأعلى رصيد بالدرهم؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في هذا الجدول الذي يعرض سجلات المعاملات البنكية وتواريخها، ما نوع المعاملة التي سجلت أقل مبلغ؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'وفقًا لجدول المصروفات المُصنفة حسب الفئة في تواريخ محددة، أي فئة تُظهر أعلى مصروف تراكمي بالنظر إلى كافة التواريخ؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'يستعرض الجدول الحد الأدنى للطلب وكمية المخزون المتبقية، أي صنف من ضمن الخيارات المتاحة يحتاج طلبًا عاجلًا؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في جدول النشاط البدني الذي يضم التمارين وأوقاتها والسعرات التي تُحرق، أي تمرين من ضمن الخيارات المتاحة حقق أعلى معدل حرق للسعرات في دقيقة واحدة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى جدول المنتجات، أي منتج من ضمن الخيارات المتاحة يمثّل أعلى هامش ربح نسبي؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'يقدم الجدول معدل دوران المخزون لعدة أصناف خلال ربع السنة، أي صنف من ضمن الخيارات المتاحة يظهر أنه يستبدل مخزونه بأسرع وتيرة مقارنة بباقي الأصناف؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في جدول الترشيحات الوظيفية الذي يتضمن مجالات الخبرة والمعايير المطلوبة، أي مرشح بديل من ضمن الخيارات المتاحة من الممكن أن يحل بدلاً عن الموظف الأصيل؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في جدول القروض الذي يشمل قيمة القرض ومدته ونسبة الفائدة، أي قرض  من ضمن الخيارات المتاحة يبدو أنه الأكثر كلفة في المجموع النهائي المستحق؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى جدول المواقع وتكاليف الصيانة الدورية والطارئة، أي موقع من ضمن الخيارات المتاحة تسجل فيه تكلفة الصيانة الأعلى على الإطلاق؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالاطلاع على معلومات الأطفال وأعمارهم، أي طفل هو الأكبر سنًا من بين المعروضين في الجدول؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الجدول الذي يعرض وجبات الأسبوع وعدد السعرات ونسبة البروتين، أي وجبة من الأسبوع الثاني من ضمن الخيارات المتاحة تُظهر أعلى نسبة السعرات / بروتين؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'عند مقارنة (المبلغ الفعلي) مع (المبلغ المتوقع) في هذا الجدول، أي بند من ضمن الخيارات المتاحة يسجّل أكبر فرق إيجابي لصالح المبلغ الفعلي؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى نسب الإنفاق الإجمالي (٪) في الفئات المختلفة، أي فئة من ضمن الخيارات المتاحة تبرز بأنها الأعلى تكلفة (تراكمياً) ضمن القائمة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'يُظهر الجدول بيانات الأشهر الاثني عشر للإيرادات والمصروفات وصافي الربح ونسبة الربح. أي شهر من ضمن الخيارات المتاحة يحقق أعلى نسبة ربح إيجابية؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'يبيّن الجدول أهدافًا شهرية للمبيعات بالدولار ومبيعات فعلية ونسب الإنجاز. أي موظف من ضمن الخيارات المتاحة تجاوز هدفه الشهري بأعلى نسبة؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في هذا الجدول الذي يعرض منتجات بعلامات تجارية مختلفة والسعرات الحرارية ونسب الدهون والبروتين، أي منتج يجمع بين أعلى نسبة بروتين وأعلى سعرات؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'تشير هذه البيانات إلى منتجات (من 11 إلى 20) مع نسب الألياف والسكر والسعرات الحرارية. أي منتج من ضمن الخيارات المتاحة يحقق أقل نسبة سكر مع أخفض سعرات حرارية تقريبًا؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'وفقًا للجدول اليومي الخاص بالسعرات الحرارية المستهلكة والنسبة المئوية من الهدف، في أي يوم من ضمن الخيارات المتاحة تتم ملاحظة أعلى تجاوز للهدف اليومي؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في الأسبوع المعروض، ما اليوم الذي يقترب فيه الاستهلاك من الهدف اليومي دون أن يتجاوزه بشدة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'استنادًا إلى جدول الطلبات (عدد الوحدات والسعر الإجمالي)، أي طلب من ضمن الخيارات المتاحة يشير إلى أعلى قيمة للوحدة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في جدول الملابس والمقاسات مع الأسعار ونسب التخفيض، أي قطعة تُظهر أعلى سعر فعلي للوحدة بعد تطبيق نسبة الخصم؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'بالاطلاع على المصروفات وتصنيفها بالنسبة للدخل الشهري، أي نوع مصروف يشغل النسبة التراكمية الأعلى من الدخل للفترة الزمنية المحددة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى قائمة المصروفات حسب التاريخ ونوع المصروف، أي مصروف من ضمن الخيارات المتاحة سُجِّل بوصفه الأعلى تكلفة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في جدول عدد الوحدات المخططة والمنتجة ونسبة الإنجاز، أي عملية من ضمن الخيارات المتاحة تجاوزت الخطة بأعلى نسبة إنجاز؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'تُعرض في هذا الجدول منتجات غذائية (21 إلى 30) مع السعرات الحرارية ونسب الملح والدهون المشبعة، أي منتج من ضمن الخيارات المتاحة يعد الأسوء من حيث السعرات حرارية؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في قائمة الإرجاعات، أي منتج من ضمن الخيارات المتاحة يُظهر أعلى قيمة إجمالية للإرجاع بالريال؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'يبيّن هذا الجدول بنودًا مالية مثل الإيرادات والتكاليف والأرباح، ما قيمة صافي الربح الإجمالي للبنود التابعة للمرقم (#) ١ و٣ و٥ و٧؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالاطّلاع على مشاريع مختلفة تشمل الميزانية المخصصة والإنفاق الفعلي والمبلغ المتبقي ونسبة الاستخدام، لأي بلد من ضمن الخيارات المتاحة ممكن أن يكون هذا الجدول؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في جدول المشاريع (1 إلى 15) وتواريخها وعدد الأيام المتبقية، أي مشروع من ضمن الخيارات المتاحة يملك أطول فترة زمنية متبقية؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'من بين المشاريع المعروضة (1 إلى 10)، أي مشروع سيتم انجازه في فترة تتراوح ما بين ٨ إلى ٩ شهور عمل مع اعتبار ٢٦ يوم للعمل في الشهر؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'يُظهر الجدول أسماء الموظفين وأقسامهم والمسميات الوظيفية الحالية والترقية المقترحة. إذا كان تاريخ اليوم ٢٦ سبتمبر ٢٠٢٤، كم يكون قد مضى من الوقت (بالأيام) على ترقية الموظفين الثلاثة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
